C_ST,JS_ST,JW_ST,JW_Trsv,JW_Xyl,P_ST,P_Xyl,Q_ST,c_demand_2,c_satis,carbon_q,connect_no,connection_1,connection_2,connection_belong,coor_x,coor_y,coor_z,exudation,growth_rate,id,length,order,organ_id,organ_id2,organ_length,organ_type,parent_organ,r_st,r_xyl,r_xyl_node,radial_water,radius,res_main,rw_satis,sub_type,time
-3.99E-09,7.29E-07,0.0852456,-0.0703512,0.0003833,0.200803,-0.1,-5.19E-09,0.002349821,-1.92E-06,-4.52E-09,1,97,98,29,-0.005782767,-0.002896691,-0.093320093,0,1.87E-06,74,0.073967417,1,0,1,7.396741695,2,0,0.007482426,48.320223,,,0.1,5.82E-10,0.934964229,1,12
-1.86E-08,1.93E-05,0.0874575,-0.0710939,0.00259516,0.201932,-0.106399,-2.42E-08,,,,2,67,97,,-0.00560671,-0.002881856,-0.091863351,,,73,0.0725,1,0,1,,2,0,0.007482426,46.75583996,,,0.1,9.92E-10,,1,12
-3.43E-09,0.702239,0.790564,-0.0706975,8.01654,0.204313,-0.1,-4.46E-09,0.000293728,-1.10E-05,-3.24E-09,1,25,24,86,-0.014453049,0.003256969,-0.092513299,0,9.35E-07,126,0.081461982,2,7,11,1.146198154,2,1,0.0001,1.00E-09,,,0.05,5.80E-10,0.934964229,3,12
-1.33E-08,0.650525,0.752538,-0.000777836,8.06592,0.204494,0.608872,-1.72E-08,,,,2,24,13,,-0.013257401,0.002478583,-0.092194034,,,125,0.08,2,7,11,,2,1,0.0001,1.00E-09,,,0.05,9.92E-10,,3,12
-1.33E-08,0.937921,0.591269,-0.000248226,7.91468,0.204807,0.614552,-1.73E-08,,,,2,158,156,,-0.011326465,0.0011778,-0.091283293,,,124,0.0775,2,7,11,,2,1,0.0001,1.00E-09,,,0.05,9.92E-10,,3,12
-1.35E-08,1.85024,1.38789,-0.00119348,16.0789,0.205121,0.605285,-1.76E-08,,,,2,156,155,,-0.009400121,-0.000225715,-0.090528743,,,123,0.075,2,7,11,,2,1,0.0001,1.00E-09,,,0.05,9.92E-10,,3,12
-1.47E-08,2.1442,2.61639,-0.00922998,32.0874,0.205439,0.524148,-1.91E-08,,,,2,82,81,,-0.007410916,-0.001639378,-0.089985953,,,102,0.0725,2,7,11,,2,1,0.0001,1.00E-09,,,0.05,9.92E-10,,3,12
-1.32E-08,0.000445481,0.101627,-0.0721077,0.0167651,0.205799,-0.112808,-1.71E-08,,,,3,44,67,,-0.005303726,-0.00284151,-0.089382107,,,72,0.07,1,0,1,,2,0,0.007482426,46.03216211,,,0.1,9.92E-10,,1,12
4.99E-08,-1.29E-09,0.0979441,-0.0735387,-0.00120172,0.213882,-0.119229,6.49E-08,,,,2,109,110,,-0.005127994,-0.002899219,-0.086888958,,,71,0.0675,1,0,1,,2,0,0.00572245,817.699393,,,0.1,9.92E-10,,1,12
6.08E-07,-1.14E-09,0.0989725,-0.0751689,-0.000173289,0.223976,-0.12566,7.91E-07,,,,2,108,109,,-0.00496565,-0.002915595,-0.084394289,,,70,0.065,1,0,1,,2,0,0.007482426,54.28267525,,,0.1,9.92E-10,,1,12
3.80E-08,0.00608646,0.152855,-0.0727518,0.0643784,0.225135,-0.1,4.94E-08,0.002349821,0.000164759,3.87E-07,1,67,97,29,-0.00578888,-0.002897206,-0.093370675,0,0.000308088,74,0.07401837,1,0,1,7.401837048,2,0,0.007482426,3.627447598,,,0.1,6.02E-10,0.934964229,1,15
