time,id,organ_type,sub_type,connect_no,organ_id,organ_id2,parent_organ,length,res_main,carbon_q,c_satis,rw_satis,c_demand_2,growth_rate,exudation,order,organ_length,coor_x,coor_y,coor_z,connection_1,connection_2,radius,r_xyl_node,radial_water,r_xyl,r_st,connection_belong,JW_Trsv,Q_ST,C_ST,P_Xyl,P_ST,JW_Xyl,JW_ST,JS_ST
1,1,2,1,2,0,0,0,0.0,0.0,,,,,,,1,,0.0,0.0,-0.02,1,2,0.1,,,0.0001401689298628721,0.004676516071993405,,0.0317005,0.24773,0.19056199999999998,-0.11034000000000001,-0.0383596,9.14038,1.6693,0.318104
1,2,2,1,2,0,1,0,0.0024999999999999983,3.966657323232321e-09,,,,,,,1,,-4.533112753942608e-05,-2.2860575681598916e-05,-0.022499484443431386,2,3,0.1,,,0.0001401689298628721,0.004676516071993403,,0.0248584,0.24372399999999997,0.18748,-0.10905899999999999,-0.043894499999999996,9.165239999999999,1.6941599999999999,0.31761999999999996
1,3,2,1,2,0,1,0,0.004999999999999996,3.96665732323232e-09,,,,,,,1,,-0.0003878347512110518,-0.0001846496933575909,-0.024970620932817073,3,4,0.1,,,0.0001401689298628721,0.004676516071993414,,0.022409000000000002,0.240171,0.184747,-0.107774,-0.0494934,9.18765,1.7165599999999999,0.31713
1,4,2,1,2,0,1,0,0.007499999999999999,3.966657323232329e-09,,,,,,,1,,-0.000613391669894377,-0.0001871126583655535,-0.0274604237383094,4,5,0.1,,,0.0001401689298628721,0.004676516071993406,,0.021801400000000002,0.23679,0.182146,-0.10648599999999998,-0.05515,9.20945,1.73837,0.316637
1,5,2,1,2,0,1,0,0.009999999999999998,3.9666573232323245e-09,,,,,,,1,,-0.0009438780793940935,-0.00039647400230465876,-0.02992962331728231,5,6,0.1,,,0.0001401689298628721,0.004676516071993409,,0.021999200000000003,0.23346599999999998,0.179589,-0.10519500000000001,-0.0608628,9.23145,1.76037,0.316143
1,6,2,1,2,0,1,0,0.012499999999999999,3.9666573232323245e-09,,,,,,,1,,-0.0011437354573022081,-0.0005163335320976395,-0.03241873776254462,6,7,0.1,,,0.0001401689298628721,0.004676516071993414,,0.0225733,0.23015100000000002,0.177039,-0.103901,-0.0666322,9.25402,1.7829400000000002,0.31565
1,7,2,1,2,0,1,0,0.015000000000000003,3.96665732323233e-09,,,,,,,1,,-0.0014691800465181659,-0.0003880004743165153,-0.034894140042100535,7,8,0.1,,,0.0001401689298628721,0.0046765160719933925,,0.023344900000000002,0.226823,0.174479,-0.102604,-0.0724599,9.27736,1.8062799999999999,0.315159
1,8,2,1,2,0,1,0,0.017499999999999995,3.966657323232311e-09,,,,,,,1,,-0.0015906095259572747,-0.00010711669540062644,-0.03737534119965811,8,9,0.1,,,0.0001401689298628721,0.004304876507146611,,0.02424,0.223473,0.171902,-0.10130399999999999,-0.078348,9.3016,1.8305200000000001,0.314671
1,9,2,1,1,0,1,0,0.019801326693244747,3.6514297523637306e-09,1.0875029760000001,462.8024043741909,0.9349642286541388,0.002349821361603641,1.8699284573082775,1.0851531546383966,1,1.9801326693244747,-0.0016298981153529332,-0.00021747592178045,-0.03967368447187333,10,1,0.1,,,0.0001401689298628721,0.0046765160719934055,7.0,-1.76253,0.00686336,0.00527951,-0.1,-0.083826,9.10868,1.6376,0.318577
1,10,3,1,2,1,2,0,0.0024999999999999988,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0175,11,10,0.1,,,1e-09,0.0001,,0.049407400000000004,0.25290100000000004,0.19453900000000002,-0.11161700000000001,-0.032907,9.0592,1.58819,0.31903200000000004
1,11,3,1,2,1,2,0,0.005000000000000001,3.966657323232327e-09,,,,,,,1,,0.0,0.0,-0.015,12,11,0.1,,,1e-09,0.0001,,0.12285599999999999,0.261141,0.200878,-0.11161700000000001,-0.0327931,8.93646,1.46533,0.31945300000000004
1,12,3,1,2,1,2,0,0.0075,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0125,13,12,0.1,,,1e-09,0.0001,,0.32371500000000003,0.283409,0.218007,-0.11161700000000001,-0.032686099999999996,8.612680000000001,1.14162,0.319829
1,13,3,1,1,1,2,0,0.009754115099857198,3.576520867302847e-09,,,,,,,1,,0.0,0.0,-0.010245884900142803,,,0.1,,,,,,1.07263,0.3642,0.280154,-0.11161700000000001,-0.0325969,,,
2,1,2,1,2,0,0,0,0.0,0.0,,,,,,,1,,0.0,0.0,-0.02,1,2,0.1,,,0.0001401689298628721,0.004676516071993405,,0.0239653,0.274134,0.21087199999999998,-0.14091800000000002,-0.0111454,17.899,2.9569400000000003,0.623536
2,2,2,1,2,0,1,0,0.0024999999999999983,3.966657323232321e-09,,,,,,,1,,-4.533112753942608e-05,-2.2860575681598916e-05,-0.022499484443431386,2,3,0.1,,,0.0001401689298628721,0.004676516071993403,,0.039362400000000006,0.26996,0.20766199999999999,-0.138409,-0.021161900000000004,17.9383,2.9963,0.622218
2,3,2,1,2,0,1,0,0.004999999999999996,3.96665732323232e-09,,,,,,,1,,-0.0003878347512110518,-0.0001846496933575909,-0.024970620932817073,3,4,0.1,,,0.0001401689298628721,0.004676516071993414,,0.0488289,0.265071,0.203901,-0.13589400000000001,-0.0312769,17.9872,3.04513,0.620905
2,4,2,1,2,0,1,0,0.007499999999999999,3.966657323232329e-09,,,,,,,1,,-0.000613391669894377,-0.0001871126583655535,-0.0274604237383094,4,5,0.1,,,0.0001401689298628721,0.004676516071993406,,0.0554024,0.259786,0.19983599999999999,-0.133373,-0.0415154,18.0426,3.10053,0.619598
2,5,2,1,3,0,1,0,0.009999999999999998,3.9666573232323245e-09,,,,,,,1,,-0.0009438780793940935,-0.00039647400230465876,-0.02992962331728231,5,6,0.1,,,0.0001401689298628721,0.004676516071993409,,0.060635800000000004,0.254268,0.19559100000000001,-0.13084400000000002,-0.0518951,18.1032,2.62535,0.513494
2,6,2,1,2,0,1,0,0.012499999999999999,3.9666573232323245e-09,,,,,,,1,,-0.0011437354573022081,-0.0005163335320976395,-0.03241873776254462,6,7,0.1,,,0.0001401689298628721,0.004676516071993414,,0.05565169999999999,0.24836100000000003,0.191047,-0.128307,-0.0606443,18.1588,2.681,0.512197
2,7,2,1,2,0,1,0,0.015000000000000003,3.96665732323233e-09,,,,,,,1,,-0.0014691800465181659,-0.0003880004743165153,-0.034894140042100535,7,8,0.1,,,0.0001401689298628721,0.0046765160719933925,,0.0545115,0.24279699999999999,0.18676700000000002,-0.12576099999999998,-0.0695359,18.2133,2.7355099999999997,0.510903
2,8,2,1,2,0,1,0,0.017499999999999995,3.966657323232311e-09,,,,,,,1,,-0.0015906095259572747,-0.00010711669540062644,-0.03737534119965811,8,9,0.1,,,0.0001401689298628721,0.0046765160719934055,,0.0554031,0.23737600000000003,0.182597,-0.123208,-0.0785672,18.2687,2.79091,0.509612
2,9,2,1,3,0,1,0,0.019999999999999993,3.966657323232323e-09,,,,,,,1,,-0.001633289895405673,-0.00022700322292382538,-0.039872100220184954,9,16,0.1,,,0.0001401689298628721,0.004676516071993418,,0.0574612,0.23199999999999998,0.17846199999999998,-0.120648,-0.0877409,18.3262,1.4936200000000002,0.266554
2,10,3,1,2,3,2,0,0.0024999999999999988,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0175,16,17,0.1,,,0.0001401689298628721,0.004676516071993412,,-0.00329652,0.276961,0.213047,-0.143423,-0.00118688,18.36,1.5275,0.26527
2,11,3,1,2,3,2,0,0.005000000000000001,3.966657323232327e-09,,,,,,,1,,0.0,0.0,-0.015,17,18,0.1,,,0.0001401689298628721,0.004676516071993412,,-0.00168532,0.277239,0.21325999999999998,-0.143423,-0.0009736430000000001,18.3847,1.55217,0.263979
2,12,3,1,2,3,2,0,0.0075,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0125,18,19,0.1,,,0.0001401689298628721,0.0046765160719934055,,0.00127535,0.277665,0.213589,-0.143423,-0.00076021,18.4059,1.57341,0.26268400000000003
