time,id,organ_type,sub_type,connect_no,organ_id,organ_id2,parent_organ,length,res_main,carbon_q,c_satis,rw_satis,c_demand_2,growth_rate,exudation,order,organ_length,coor_x,coor_y,coor_z,connection_1,connection_2,radius,r_xyl_node,radial_water,r_xyl,r_st,connection_belong,JW_Trsv,Q_ST,C_ST,P_Xyl,P_ST,JW_Xyl,JW_ST,JS_ST
1,1,2,1,2,0,0,0,0.0,0.0,,,,,,,1,,0.0,0.0,-0.02,1,2,0.1,,,0.0001401689298628721,0.04676516071993409,,0.0720751,0.677986,0.521528,-0.11081300000000001,0.963425,9.17122,1.8387900000000001,0.958981
1,2,2,1,2,0,1,0,0.0025000000000000005,3.9666573232323245e-09,,,,,,,1,,-9.310667959078011e-05,0.0001466051628432422,-0.022493960318939195,2,3,0.1,,,0.0001401689298628721,0.04676516071993412,,0.09309939999999998,0.645107,0.49623599999999995,-0.109528,0.874258,9.26432,1.93189,0.958674
1,3,2,1,2,0,1,0,0.005000000000000003,3.966657323232327e-09,,,,,,,1,,-3.2759386496618824e-05,0.00052278836755569,-0.024964758651605884,3,4,0.1,,,0.0001401689298628721,0.04676516071993412,,0.108856,0.610505,0.46961899999999995,-0.10822899999999999,0.783455,9.37318,2.04075,0.9583729999999999
1,4,2,1,2,0,1,0,0.007500000000000005,3.966657323232327e-09,,,,,,,1,,0.00012882852975326761,0.0008352183866115407,-0.027439890330631222,4,5,0.1,,,0.0001401689298628721,0.04676516071993405,,0.12674000000000002,0.5746319999999999,0.442024,-0.10691500000000001,0.690597,9.49992,2.1674900000000004,0.958082
1,5,2,1,2,0,1,0,0.010000000000000004,3.966657323232323e-09,,,,,,,1,,0.00044852495887225786,0.0008485477672501356,-0.02991932908180463,5,6,0.1,,,0.0001401689298628721,0.046765160719934175,,0.149202,0.537467,0.41343599999999997,-0.105584,0.595195,9.64912,2.3166900000000004,0.9578030000000001
1,6,2,1,2,0,1,0,0.01250000000000001,3.966657323232333e-09,,,,,,,1,,0.0008576254230117017,0.0008126402085815848,-0.03238536790093773,6,7,0.1,,,0.0001401689298628721,0.046765160719933925,,0.17838199999999999,0.498904,0.383772,-0.10423099999999999,0.496629,9.8275,2.49507,0.9575389999999999
1,7,2,1,2,0,1,0,0.015000000000000001,3.966657323232311e-09,,,,,,,1,,0.0012447134230519133,0.0009053424238855139,-0.034853478348122496,7,8,0.1,,,0.0001401689298628721,0.04676516071993414,,0.217218,0.45883100000000004,0.35294699999999996,-0.102854,0.394099,10.0447,2.7122900000000003,0.9572930000000001
1,8,2,1,2,0,1,0,0.017500000000000005,3.96665732323233e-09,,,,,,,1,,0.001607683033535064,0.0008865730554120118,-0.037326917405927,8,9,0.1,,,0.0001401689298628721,0.04304876507146591,,0.270179,0.41716800000000004,0.320899,-0.10144600000000001,0.286541,10.3149,2.98247,0.9570700000000001
1,9,2,1,1,0,1,0,0.019801326693244747,3.6514297523637145e-09,3.3076339200000002,1407.610797164044,0.9349642286541388,0.002349821361603641,1.8699284573082775,3.3052840986383965,1,1.9801326693244747,0.001959568960061348,0.0008464013158225132,-0.03960082749102093,10,1,0.1,,,0.0001401689298628721,0.04676516071993405,7.0,-2.77622,0.020877700000000003,0.0160598,-0.1,0.181567,9.09915,1.76672,0.9592930000000001
1,10,3,1,2,1,2,0,0.0024999999999999988,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0175,11,10,0.1,,,1e-09,0.0001,,0.00602497,0.705875,0.542981,-0.11208900000000001,1.05142,9.09497,1.76069,0.9596100000000001
1,11,3,1,2,1,2,0,0.005000000000000001,3.966657323232327e-09,,,,,,,1,,0.0,0.0,-0.015,12,11,0.1,,,1e-09,0.0001,,0.0351592,0.7085239999999999,0.5450189999999999,-0.11208900000000001,1.05161,9.060939999999999,1.72553,0.9599209999999999
1,12,3,1,2,1,2,0,0.0075,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0125,13,12,0.1,,,1e-09,0.0001,,0.20091099999999998,0.723196,0.556304,-0.11208900000000001,1.0518,8.85715,1.52462,0.960216
1,13,3,1,1,1,2,0,0.009754115099857198,3.576520867302847e-09,,,,,,,1,,0.0,0.0,-0.010245884900142803,,,0.1,,,,,,1.31764,0.8187479999999999,0.6298060000000001,-0.11208900000000001,1.05198,,,
2,1,2,1,2,0,0,0,0.0,0.0,,,,,,,1,,0.0,0.0,-0.02,1,2,0.1,,,0.0001401689298628721,0.04676516071993409,,0.164406,0.804289,0.618684,-0.144057,1.2511700000000001,17.7234,3.07631,1.90326
2,2,2,1,2,0,1,0,0.0025000000000000005,3.9666573232323245e-09,,,,,,,1,,-9.310667959078011e-05,0.0001466051628432422,-0.022493960318939195,2,3,0.1,,,0.0001401689298628721,0.04676516071993412,,0.229814,0.747926,0.575327,-0.141573,1.08239,17.9532,3.3061199999999995,1.9021
2,3,2,1,2,0,1,0,0.005000000000000003,3.966657323232327e-09,,,,,,,1,,-3.2759386496618824e-05,0.00052278836755569,-0.024964758651605884,3,4,0.1,,,0.0001401689298628721,0.04676516071993412,,0.286261,0.687936,0.5291819999999999,-0.13905599999999999,0.910848,18.2394,3.5923800000000004,1.9010200000000002
2,4,2,1,2,0,1,0,0.007500000000000005,3.966657323232327e-09,,,,,,,1,,0.00012882852975326761,0.0008352183866115407,-0.027439890330631222,4,5,0.1,,,0.0001401689298628721,0.04676516071993405,,0.35639299999999996,0.625521,0.48117,-0.136499,0.734979,18.5958,3.94878,1.9000299999999999
